제목,내용
"""ERP에 AI 적용"" SAP와 손잡은 LG CNS의 AX 전략","'SAP 비즈니스 AI' 기반 ERP AX 실행 전략 공개 전문인력 육성…올해 초 전담 조직도 신설 SAP와 피지컬AI 등으로 협업 영역 확장 LG CNS와 SAP가 공동 주최한 'Business AI for ERP Summit'에서 LG CNS 엔터프라이즈솔루션사업부장 내한신 전무가 발표하는 모습.(사진=LG CNS 제공) *재판매 및 DB 금지 [서울=뉴시스]오동현 기자 = LG CNS가 SAP와 함께 국내 전사적자원관리(ERP) 시장의 인공지능 전환(AX)에 박차를 가한다. LG CNS는 8일 서울 강남구 조선팰리스 호텔에서 SAP와 ‘Business AI for ERP Summit’ 행사를 공동 개최하고, ‘SAP 비즈니스 AI’ 기반의 차세대 ERP AX 실행 전략을 발표했다. 이날 행사에는 제조·물류·유통·통신 등 다양한 산업 분야의 기업 관계자 200여명이 참석했다. SAP 비즈니스 AI는 기업의 재무·구매·생산·공급망 등을 통합 관리하는 ERP를 비롯한 기업의 핵심 비즈니스 시스템에 AI를 접목해 반복 업무를 자동화하고, 데이터 기반 의사결정을 지원하는 기술이다. LG CNS는 SAP와의 긴밀한 협력을 통해 SAP 비즈니스 AI 역량을 선제적으로 확보하며 AI ERP 시장을 선점해나가고 있다. 지난해부터 SAP 아시아태평양지역(APAC)과 함께 전문 인력을 육성해왔으며, 이를 기반으로 올해 초 전담 조직 ‘ERP AX사업단’을 신설해 기업 대상 AI ERP 컨설팅 및 구축 서비스를 본격화하고 있다. LG CNS는 ERP 컨설팅부터 구축, 운영, 고도화까지 전 주기를 아우르는 서비스를 제공한다. 이를 바탕으로 지난 30여년간 제조·화학·유통·항공 등 다양한 산업에서 국내외 고객사에 ERP 시스템을 서비스하고 있다. 최근에는 에이전틱 AI 등 최신의 AI 기술을 ERP 시스템에 적용하는 ‘AX on ERP’ 전략을 통해 고객이 AI를 기반으로 업무를 자동화 및 효율화하고, 비즈니스 프로세스를 빠르게 혁신할 수 있도록 지원한다. LG CNS와 SAP는 이날 행사에서 ‘ERP에 AI를 접목해 어떻게 성과를 낼 것인가’에 대한 해답을 제시했다. 폴 왕(Paul Wang) SAP 아시아태평양지역 AI 부문 담당은 키노트를 통해 많은 기업이 AI 투자 대비 실질적 성과를 내지 못하는 ‘AI 가치 격차’를 강조하며, SAP 비즈니스 AI를 소개하고, 전사 업무 전반에 AI를 내재화해 실질적인 비즈니스 성과를 창출해야 한다고 설명했다. 이어진 세션에서 장현정 LG CNS ERP AX사업단장은 SAP 비즈니스 AI를 국내 기업 환경에 맞게 구현할 수 있는 전략을 공유하며, 고객이 현장에서 바로 적용할 수 있는 실질적인 AI ERP 도입 방안을 제시했다. LG CNS는 AX의 핵심 축인 피지컬 AI 기술 동향과 활용 방안도 함께 소개했다. 손동신 LG CNS 퓨처 로보틱스 랩 위원은 휴머노이드의 최신 트렌드 및 SAP의 로봇 기반 AI 서비스인 ‘SAP Embodied AI’를 LG CNS의 로봇 플랫폼과 연계해 활용하는 방안을 공유하며, 로봇의 현장 적용 방향성을 설명했다. 내한신 LG CNS 엔터프라이즈솔루션사업부장(전무)은 “AI는 특정한 도구가 아니라 조직의 운영 체제로 내재화돼야 하고, 단순한 기술 도입을 넘어 AI 에이전트를 통해 업무 수행 방식을 근본적으로 재설계하는 것이 중요하다“며 “LG CNS는 SAP와의 전략적 협력을 바탕으로 실질적인 혁신 성과를 만들어가겠다“고 밝혔다. ◎공감언론 뉴시스 [email protected]"
"메타, 초지능팀 첫 AI모델 발표…오픈AI·구글 경쟁작에 필적","메타가 지난해 전방위 인재 영입을 통해 구성한 연구팀이 주요 인공지능 경쟁사 모델에 필적하는 수준의 첫 모델을 선보였다. 실제로 메타가 공개한 성능지표 점수를 보면 뮤즈 스파크는 오픈AI의 'GPT-5.4', 구글의 '제미나이3.1 프로', 앤트로픽의 '클로드 오퍼스4.6' 등에 필적하거나, 이들을 능가하는 수준이다. 차트 이해 능력을 보여주는 'CharXiv Reasoning' 지표가 86.4%로 비교 대상 모델 가운데 가장 높았고, 다중양식 인식 능력을 측정하는 'MMMU프로' 점수도 80.4%로 경쟁작들과 유사한 수준을 보였다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"[단독] 네이버클라우드, AI 보안전략 조직 신설… 수장에 국정원 출신 김...",내용 저장 실패
"""배탈 났나"" 병원찾은 어르신…AI가 살펴보니 '심근경색'","대웅제약 ""AI 분석 통해 급성 심근경색 발견"" [서울=뉴시스] 조영욱 운암한국병원 병원장이 AI 심전도 분석 소프트웨어 '에티아'(AiTiA) 결과를 확인하고 있다. (사진=대웅제약 제공) [email protected] *재판매 및 DB 금지 [서울=뉴시스]황재희 기자 = 대웅제약이 공급하는 인공지능(AI) 기반 심전도 분석 소프트웨어인 '에티아'(AiTiA)가 급성 심근경색을 조기에 발견했다. 대웅제약은 에티아가 조기에 심근경색 환자를 잡아냈다고 9일 밝혔다. 운암한국병원에 따르면, 66세 남성 환자가 하루 전부터 지속된 가슴 답답함과 경미한 설사 증상을 호소하며 일반내과를 방문했다. 환자 증상이 흉통이 아닌 소화기계 불편감에 가까워 초기에는 장염이나 늑막염 등 위장관계 질환이 우선적으로 의심됐다. 그러나 의료진은 상복부 통증이나 역류 증상을 보인 환자에서 심근경색으로 확인된 사례가 있다는 점을 고려해 심전도 검사와 함께 에티아를 적용했다. 그 결과, 심근경색 고위험군으로 분류되며 심혈관 질환 가능성을 인지하게 됐다. AI 의료기기 전문기업 메디컬에이아이(Medical AI)가 개발한 에티아는 12유도 심전도 데이터를 AI로 분석해 급성 심근경색 및 심부전의 가능성과 위험도를 정량적 수치로 제공하는 진단 보조 솔루션이다. 심전도 파형 속에 숨겨진 원시 데이터 분석을 통해 질환 가능성을 수치화해 제공함으로써 의료진이 심전도 파형을 해석하기 전에 위험도를 판단할 수 있도록 돕는다. 의료진은 에티아 분석 결과를 토대로 추가 혈액검사를 진행했고, 심장 손상을 의미하는 수치가 상승했음을 확인했다. 이후 환자는 상급종합병원으로 전원돼 치료를 받았다. 급성 심근경색은 발병 초기 신속한 진단과 치료가 생존율을 좌우하는 대표적인 응급질환이다. 운암한국병원은 에티아 도입을 통해 심혈관 질환 조기 진단을 강화했다. 기존에 도입했던 스마트 병상 모니터링 시스템 '씽크'(thynC)와 연계해 외래 및 입원, 응급상황 등 통합 심혈관 관리 체계를 구축하고 있다. 조영욱 운암한국병원 병원장은 ""시설 노후화나 전문 인력 부족이라는 지역 거점 병원의 현실적 한계를 극복하기 위해 선제적으로 AI 의료 솔루션을 도입했다""며 ""이번 사례는 AI 기술이 의료진의 조기 진단과 치료를 돕는 강력한 조력자가 될 수 있음을 증명한 사례로, 앞으로도 디지털 헬스케어 혁신을 선도하며 환자분에게 최상의 진료 환경을 제공하는 데 집중하겠다""고 말했다. 박형철 대웅제약 ETC마케팅본부장은 ""심근경색과 같은 응급질환은 조기 인지가 무엇보다 중요한 만큼, AI 기반 분석 솔루션이 임상 현장에서 중요한 역할을 하고 있다""며 ""앞으로도 디지털 헬스케어 솔루션을 통해 의료진의 진단 정확도를 높이고 환자 안전 강화에 기여하겠다""고 했다. ◎공감언론 뉴시스 [email protected]"
성인 문해교육기관 446곳 선정…AI·디지털 역량 돕는다,"교육부, '2026년 성인 문해교육 지원사업' 성인 문해교육기관, 전년보다 33곳 늘어 보이스피싱 예방법·약 봉투 읽기 등 교육 [밀양=뉴시스] 찾아가는 성인문해교실에서 강사가 어르신들에게 맞춤형 한글 및 디지털 교육을 진행하고 있다. (사진= 밀양시 제공) 2026.04.01. [email protected] **기사 내용과 직접 관련 없습니다** *재판매 및 DB 금지 [서울=뉴시스]정예빈 기자 = 교육부와 국가평생교육진흥원은 9일 '2026년 성인 문해교육 지원사업' 선정 결과를 발표했다. 성인 문해교육 지원사업은 배움의 기회를 놓친 어르신 등에게 읽기·쓰기·셈하기 등 기초 문해 역량부터 건강, 안전, 금융 등 일상생활에 필요한 생활 문해 역량, 나아가 인공지능(AI)·디지털 문해까지 함양할 수 있도록 지원하는 사업이다. 올해는 성인 문해교육 지원 강화를 위해 지난해보다 33개 증가한 446개 기관을 '문해교육 프로그램 운영기관'으로 선정됐다. 문해교육기관 접근이 어려운 지역에 직접 방문해 AI·디지털 교육을 제공하는 '한글햇살버스' 운영 지역은 기존 5개 시도에서 올해 10개 시도로 확대됐다. 생활 문해 프로그램을 통해 금융 앱 사용, 병원 무인안내기(키오스크) 사용, 약 봉투 내용 읽기 등 교육과 전화금융사기(보이스피싱) 예방법 등 안전한 일상을 위한 교육을 제공한다. AI·디지털 문해 프로그램을 운영하면서 스마트폰 속의 앱 사용법을 익히는 데 그치지 않고, AI 서비스를 활용·연계한 교육을 제공해 디지털 시민 역량을 키운다. 문해교육기관 접근이 어려운 지역은 '한글햇살버스'를 운영해 직접 방문한다. 버스 또는 트럭에 디지털 기기, 디지털 학습콘텐츠를 구비하고 문해교사와 함께 이동하며 AI·디지털 문해교육을 제공한다. 기존 서울, 충북, 충남, 전북, 제주 등 5개 시도에서 운영되던 한글햇살버스는 올해 부산, 광주, 경기, 강원, 전남, 경남 등으로도 확대돼 총 10개 시도에서 이용할 수 있다. 최교진 교육부 장관은 ""성인 문해교육 지원사업을 통해 배움의 기회를 놓친 어르신들께서 글을 읽고 쓰는 기쁨뿐만 아니라 AI·디지털 기술을 이해하고 활용할 수 있다는 자신감도 가질 수 있길 기대한다""며 ""AI·디지털 대전환 속에서 국민 누구나 AI 활용 역량을 키울 수 있도록 실생활 중심의 문해교육 정책을 지속적으로 확대해 나가겠다""고 밝혔다. ◎공감언론 뉴시스 [email protected]"
"LG AI연구원, 독파모 2차 앞두고 엑사원에 '눈' 달았다","정부가 추진하는 독자 인공지능(AI) 모델 개발 프로젝트에 참여 중인 LG AI연구원이 멀티모달 확장 가능성을 선제 검증하며 피지컬 AI로의 로드맵을 가시화했다. 오픈 웨이트 공개와 한국 문화 특화 학습까지 더하며 정부의 '모두의 AI' 정책 방향과 보조를 맞추는 행보로도 읽힌다. LG AI연구원이 9일 공개한 멀티모달 AI '엑사원 4.5'는 자체 개발한 비전 인코더와 거대언어모델(LLM)을 하나의 구조로 통합한 비전-언어 모델(VLM)이다. LG AI연구원은 이번 모델을 과학기술정보통신부 '독자 AI 파운데이션 모델(독파모)' 사업에서 모달리티 확장을 위한 준비 단계로 규정했다. 가상 환경을 넘어 물리적 세계를 이해하고 판단하는 피지컬 인텔리전스로 엑사원을 발전시키겠다는 포부다. 독파모는 외산 AI 의존도를 낮추고 독자 기술력을 확보하기 위해 정부가 경쟁형 압축 방식으로 추진 중인 국가 사업이다. 지난해 8월 최초 5개 정예팀이 선발돼 경쟁을 벌인 결과, 개발 모델 전부가 미국 비영리 AI 연구기관 에포크AI의 '주목할 만한 AI 모델'로 등재됐다. LG AI연구원은 이 사업을 통해 2360억 개 파라미터 규모 LLM 'K-엑사원'을 개발했다. K-엑사원은 올해 초 1차 단계평가에서 벤치마크·전문가·사용자 평가 전 항목 최고점을 받으며 기술력과 실용성을 동시에 인정받았다. K-엑사원, 3차수 진출 시 멀티모달 승부수 LG AI연구원은 오는 8월 2차 단계평가 이후 3차 진출이 확정되면 K-엑사원을 이미지·음성·영상까지 이해하는 멀티모달로 확장할 계획이다. 엑사원 4.5는 이 로드맵에 따른 기술 역량을 2차 평가 전 외부에 공개 검증한 셈이다. 엑사원 (사진=LG AI연구원) 실제 이번 모델은 330억 개 파라미터 규모(33B)로 K-엑사원 대비 7분의 1 크기지만 텍스트 이해·추론 영역에서 동등 성능을 구현했다. 자체 개발한 하이브리드 어텐션 구조와 멀티 토큰 예측 기반 고속 추론 기술을 적용한 결과다. 벤치마크 결과도 글로벌 경쟁 모델과 견줄 만한 수준이다. 엑사원 4.5는 계약서·기술 도면·재무제표 등 산업 현장의 복합 문서를 읽고 추론하는 데 강점이 있으며, STEM(과학·기술·공학·수학) 5개 지표 평균 77.3점으로 오픈AI GPT5-미니(73.5점)·앤트로픽 클로드 소넷4.5(74.6점)·알리바바 큐원3 235B(77.0점)를 앞섰다. 일반 시각 이해·문서 추론을 포함한 13개 지표 평균에서도 동일 모델들을 웃돌았고, 코딩 벤치마크 라이브코드벤치v6에선 81.4점으로 구글 젬마4(80.0점)를 넘었다. 지원 언어도 한국어·영어에서 스페인어·독일어·일본어·베트남어까지 확장했다. '모두의 AI' 실현…모델 공개 더해 접근성 간극 정조준 LG AI연구원의 행보는 정부가 독파모 사업을 추진하는 목적과도 맞닿아 있다. 정부는 독파모의 최종 목표를 모델 개발 자체가 아닌 '모두의 AI' 생태계 구현에 두고 있다. 배경훈 부총리 겸 과기정통부 장관은 지난달 국무회의에서 독파모를 8월 허깅페이스 등에 전면 오픈소스로 공개해 제조업 AI 전환 등 전 국민 배포에 나서겠다고 밝혔다. LG AI연구원은 30일 서울 강남 코엑스에서 과학기술정보통신부 주관으로 열린 ‘독자 AI 파운데이션 모델 1차 발표회’에서 ‘K-엑사원(EXAONE)’의 성능을 공개했다고 밝혔다. 사진은 LG AI연구원 관계자들이 기념 사진을 촬영하는 모습. 2025.12.30 (사진=LG/뉴스1) LG AI연구원은 이보다 앞서 엑사원 4.5를 허깅페이스에 오픈 웨이트로 공개하고 동북아역사재단 데이터를 확보해 한국 역사·문화 특화 학습을 진행 중이다. 이달 초 엑사원 경량화 모델 개발을 주제로 청년 AI 전문가 육성 프로그램 'LG 에이머스' 해커톤을 열어 엑사원을 교육 자원으로도 활용했다. 독파모 1차 단계평가 기준 중 하나인 '국민 AI 접근성 증진 실적 및 지원 계획'이 2차 평가에서도 유효하다는 점에서 기술 전략인 동시에 정책 대응이기도 하다. 다만 일반 국민의 실질적 접근성은 여전히 과제다. 하정우 대통령실 AI미래기획수석은 지난달 국무회의에서 ""독파모 1차 기업 모델들이 허깅페이스에 올려져 기업과 학생들은 지금도 내려받아 쓸 수 있지만, 일반 국민은 모델을 그대로 쓰기 어렵기 때문에 쉽게 활용할 수 있는 툴 개발이 추가로 필요하다""고 짚었다. 모델 공개와 실제 활용 사이의 간극을 정부가 인정한 것으로 풀이된다. 관련기사 ""이미지·텍스트 통합 추론""…LG AI연구원, '엑사원 4.5' 공개 2026.04.09 정부, 소버린 AI 모델 8월 오픈소스로 푼다…'모두의 AI' 본격화 2026.03.25 LG 멀티모달 ‘엑사원 4.5’ 공개 초읽기...휴머노이드 두뇌 노린다 2026.03.02 이스트소프트, LG AI연구원과 국파모 1위 통과…""AI 생태계 구축 총력"" 2026.01.16 LG AI연구원의 오픈 웨이트 공개와 교육 프로그램 운영이 이 간극을 얼마나 실질적으로 좁힐 수 있을지는 2차 평가 이후 본격적인 모달리티 확장 과정에서 가늠될 전망이다. 김명신 LG AI연구원 신뢰안전사무국 총괄은 ""한국어 능력을 갖춘 AI는 늘고 있지만, 역사와 문화적 민감성을 깊이 이해하는 것은 차원이 다른 문제""라며 ""엑사원은 자체 설계한 AI 위험 분류체계(K-AUT)를 기반으로 풍부한 표현력과 신뢰성을 동시에 확보한 AI로 진화할 것""이라고 강조했다."
"""AI영상도 성착취물로 간주해야""…오픈AI, 아동안전 청사진 발표","챗GPT 개발사 오픈AI가 인공지능으로 생성한 이미지도 아동 성착취물로 규정하도록 법을 개정해야 한다고 강조했다. 오픈AI는 8일 발표한 '생성 AI 시대의 아동 보호'라는 아동 안전 청사진 문서에서 ""AI 시스템은 합성 CSAM을 생성하거나 기존 이미지를 디지털로 변조하는 데 악용될 있다""며 이처럼 주장했다. 이는 AI로 생성된 사진은 실존 인물을 대상으로 촬영된 이미지가 아니라는 이유로 CSAM으로 규정하지 않아 범죄자가 처벌을 피하는 사각지대를 막아야 한다는 취지다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"""직원도 AI 다룰 수 있어야""…노동부, '바이브코딩' 교육","'우리 노동부 바이브코딩 교육·해커톤' 개최…총 40팀 참여 AI 원데이 클래스·시제품 시연…우수작 개발비용 지원 예정 [서울=뉴시스] 정부세종청사 고용노동부 전경. (사진=뉴시스 DB) 2024.01.23. [email protected] *재판매 및 DB 금지 [서울=뉴시스]박정영 기자 = 고용노동부가 직원들의 인공지능(AI) 활용 능력을 향상시키기 위한 교육을 진행했다. 노동부는 9일 오전 충북 청주의 오송 컨벤션센터에서 '우리 노동부 바이브코딩 교육·해커톤'을 개최했다고 밝혔다. 바이브코딩은 AI를 통해 개발자의 직관과 느낌에 의존해 결과물을 만드는 코딩 방식이며, 해커톤은 해커와 마라톤의 합성어로 기획자·개발자·디자이너 등이 팀을 구성해 아이디어를 도출하는 행사다. 이번 행사는 코딩 경험이 없는 직원을 교육하고 창의적 아이디어가 반영된 시제품을 지원하기 위해 마련됐다. 노동부는 행사에 지원한 116팀 중 40팀을 선정했다. AI 노동법 상담, 노동감독 AI 비서 등의 개발을 주도한 임재진 노동부 노동행정인공지능혁신과 사무관은 이날 'AI 빌딩 원데이 클래스'를 진행했다. 참가팀은 바이브코딩을 통해 제한된 시간 내에 시제품을 만드는 해커톤을 진행했다. 노동부는 동료 평가 등을 거쳐 개발된 시제품 중 우수작을 선정하고 개발·운영비용 등을 지원한다. 향후 성과가 우수한 경우 장관 표창 등도 수여할 계획이다. 우수작은 '고용노동부 AI 서비스 LAB' 홈페이지를 통해 공개될 예정이다. 김수진 노동부 노동정책관은 ""국민에게 최고의 고용노동행정 서비스를 제공하려면 현장의 어려움을 정확히 알고 있는 직원들이 AI를 자유자재로 다룰 수 있어야 한다""며 ""이번 해커톤을 시작으로 우리 노동부의 AI 혁신을 앞당길 공무원 개발자를 지속적으로 길러내겠다""고 밝혔다. ◎공감언론 뉴시스 [email protected]"
2만원대 5G 요금제 나온다…정부·이통3사 보안까지 맞손,"정부와 이동통신 3사가 첫 공식 간담회를 열고 '국민 기본통신권' 보장을 위한 협력을 약속했다. 양측은 통신요금 체계 개편을 본격 추진하는 동시에 보안 체계 강화와 'AI 고속도로'의 핵심 기틀이 될 차세대 네트워크 투자 확대에도 역량을 집중하기로 했다. 배 부총리는 ""일회성 논의에 그치지 않도록 간담회를 정례화하고, 국민들이 체감할 수 있는 실질적 성과가 현장에서 차질 없이 이행될 수 있도록 민관협력을 강화하겠다""며 ""통신은 국민 생활과 국가 경쟁력의 핵심 기반인 만큼, 통신 산업이 민생 안정과 AI 시대 글로벌 리더십 강화에 기여하는 중추적인 역할을 할 수 있기를 기대한다""고 밝혔다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"""의료취약지 만성질환자 건강도 관리""…AI제품 신속 상용화 지원",사이트맵메뉴 열기 증권 경제 부동산 산업·IT 정치 사회 국제 문화·라이프 오피니언 전국 Visual-News
"사기 문자와의 전쟁, 이제는 AI가 전면에 선다","한국인터넷진흥원은 금융감독원과 함께 민생 침해 금융 범죄 피해를 예방하기 위해 불법 금융 스팸 문자 대응체계를 한층 강화한다고 9일 밝혔다. 양 기관은 2024년 12월부터 불법 금융 관련 스팸 데이터를 공유하며 스팸 문자 사전 차단에 협력해 왔다. KISA는 불법 금융 유형의 스팸 신고 데이터를 수집해 제공하고, 금감원이 이를 분석해 선정한 스팸 차단 키워드가 이동통신사 시스템에 등록되는 방식이다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"정부, 美와 AI·양자·우주 등 기술 협력 구체화…연말에 성과 발표","한미 기술번영 워킹그룹 킥오프 회의 개최…기술분야별 소위 운영키로 [서울=뉴시스]한국 하정우 AI미래기획수석(오른쪽)과 미국 백악관 마이클 크라치오스 과학기술정책실장이 지난해 10월29일 한-미 기술번영 MOU 체결식에서 기념촬영을 하고 있다. (사진=과학기술정보통신부 제공) [서울=뉴시스]윤현성 기자 = 정부가 미국과 함께 인공지능(AI), 바이오, 양자, 우주 등 주요 기술 분야 협력을 구체화한다. 미국과의 과학기술 분야 성과 협력은 올해 말 발표될 예정이다. 과학기술정보통신부는 한국과 미국이 9일 ‘한-미 기술번영 워킹그룹’ 킥오프 회의를 개최하고, 양국간 기술번영 양해각서 이행을 위한 협력에 본격 착수했다고 밝혔다. 양국은 지난 10월 체결된 ‘한-미 기술번영 양해각서’의 이행을 위한 워킹그룹 출범에 합의한 바 있다. 이번 회의는 첫 번째 공식 회의다. 양측은 워킹그룹의 구성과 추진 체계를 확립하고, 워킹그룹 활동을 통한 최종 목표와 협력 분야에 대해 논의했다. 한국과 미국은 앞으로 AI, 디지털 인프라, 바이오·제약, 양자, 기초·첨단연구, 연구안보, 우주 등 각 기술분야별 소위원회를 운영하며 구체적인 협력 사항을 발굴하기로 했다. 이후 올해 말 제12차 한-미 과학기술공동위원회를 통해 그 성과를 발표할 예정이다. 황성훈 과기정통부 국제협력관은 “한-미 양국 관계에서 과학기술 협력은 양국 간 전략적 파트너십의 핵심 요소로 더욱 중요해지고 있다”며 “이번 워킹그룹 회의를 계기로 구체적인 협력 성과를 도출해 한-미 과학기술 협력이 양국 관계에 실질적인 기여를 할 수 있도록 지속적으로 노력해 나가겠다”고 밝혔다. ◎공감언론 뉴시스 [email protected]"
"대동, 국내 최초 AI 트랙터 출시…무인 농작업 구현","대동은 인공지능 기반 자율작업 기술을 적용한 트랙터를 국내 최초로 출시하고 농업 '필드로봇' 시대를 본격화한다고 9일 밝혔다. 대동은 내년 북미 시장 출시를 목표로 자율작업 기능을 현지화하기 위한 실증을 진행하고 있다. 나영중 대동 그룹경영 부사장은 ""AI트랙터는 단순히 사람이 타지 않는 트랙터가 아니라 농작업을 스스로 수행하는 농업 필드로봇""이라며 ""대동은 AI트랙터를 시작으로 현장에서 실제 가치를 창출하는 AI·로봇 기반 농업 솔루션을 지속 확대해 미래 자율농업 시장을 선도해 나갈 것""이라고 말했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다. 전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
