sidocode,sigungucode,sigunguname
11,11110,종로구
11,11140,중구
11,11170,용산구
11,11200,성동구
11,11215,광진구
11,11230,동대문구
11,11260,중랑구
11,11290,성북구
11,11305,강북구
11,11320,도봉구
11,11350,노원구
11,11380,은평구
11,11410,서대문구
11,11440,마포구
11,11470,양천구
11,11500,강서구
11,11530,구로구
11,11545,금천구
11,11560,영등포구
11,11590,동작구
11,11620,관악구
11,11650,서초구
11,11680,강남구
11,11710,송파구
11,11740,강동구
26,26110,중구
26,26140,서구
26,26170,동구
26,26200,영도구
26,26230,부산진구
26,26260,동래구
26,26290,남구
26,26320,북구
26,26350,해운대구
26,26380,사하구
26,26410,금정구
26,26440,강서구
26,26470,연제구
26,26500,수영구
26,26530,사상구
26,26710,기장군
27,27110,중구
27,27140,동구
27,27170,서구
27,27200,남구
27,27230,북구
27,27260,수성구
27,27290,달서구
27,27710,달성군
27,27720,군위군
28,28110,중구
28,28140,동구
28,28177,미추홀구
28,28185,연수구
28,28200,남동구
28,28237,부평구
28,28245,계양구
28,28260,서구
28,28710,강화군
28,28720,옹진군
29,29110,동구
29,29140,서구
29,29155,남구
29,29170,북구
29,29200,광산구
30,30110,동구
30,30140,중구
30,30170,서구
30,30200,유성구
30,30230,대덕구
31,31110,중구
31,31140,남구
31,31170,동구
31,31200,북구
31,31710,울주군
36,36110,세종시
41,41110,수원시
41,41111,수원시장안구
41,41113,수원시권선구
41,41115,수원시팔달구
41,41117,수원시영통구
41,41130,성남시
41,41131,성남시수정구
41,41133,성남시중원구
41,41135,성남시분당구
41,41150,의정부시
41,41170,안양시
41,41171,안양시만안구
41,41173,안양시동안구
41,41190,부천시
41,41192,부천시원미구
41,41194,부천시소사구
41,41196,부천시오정구
41,41210,광명시
41,41220,평택시
41,41250,동두천시
41,41270,안산시
41,41271,안산시상록구
41,41273,안산시단원구
41,41280,고양시
41,41281,고양시덕양구
41,41285,고양시일산동구
41,41287,고양시일산서구
41,41290,과천시
41,41310,구리시
41,41360,남양주시
41,41370,오산시
41,41390,시흥시
41,41410,군포시
41,41430,의왕시
41,41450,하남시
41,41460,용인시
41,41461,용인시처인구
41,41463,용인시기흥구
41,41465,용인시수지구
41,41480,파주시
41,41500,이천시
41,41550,안성시
41,41570,김포시
41,41590,화성시
41,41610,광주시
41,41630,양주시
41,41650,포천시
41,41670,여주시
41,41800,연천군
41,41820,가평군
41,41830,양평군
43,43110,청주시
43,43111,청주시상당구
43,43112,청주시서원구
43,43113,청주시흥덕구
43,43114,청주시청원구
43,43130,충주시
43,43150,제천시
43,43720,보은군
43,43730,옥천군
43,43740,영동군
43,43745,증평군
43,43750,진천군
43,43760,괴산군
43,43770,음성군
43,43800,단양군
44,44130,천안시
44,44131,천안시동남구
44,44133,천안시서북구
44,44150,공주시
44,44180,보령시
44,44200,아산시
44,44210,서산시
44,44230,논산시
44,44250,계룡시
44,44270,당진시
44,44710,금산군
44,44760,부여군
44,44770,서천군
44,44790,청양군
44,44800,홍성군
44,44810,예산군
44,44825,태안군
46,46110,목포시
46,46130,여수시
46,46150,순천시
46,46170,나주시
46,46230,광양시
46,46710,담양군
46,46720,곡성군
46,46730,구례군
46,46770,고흥군
46,46780,보성군
46,46790,화순군
46,46800,장흥군
46,46810,강진군
46,46820,해남군
46,46830,영암군
46,46840,무안군
46,46860,함평군
46,46870,영광군
46,46880,장성군
46,46890,완도군
46,46900,진도군
46,46910,신안군
47,47110,포항시
47,47111,포항시남구
47,47113,포항시북구
47,47130,경주시
47,47150,김천시
47,47170,안동시
47,47190,구미시
47,47210,영주시
47,47230,영천시
47,47250,상주시
47,47280,문경시
47,47290,경산시
47,47730,의성군
47,47750,청송군
47,47760,영양군
47,47770,영덕군
47,47820,청도군
47,47830,고령군
47,47840,성주군
47,47850,칠곡군
47,47900,예천군
47,47920,봉화군
47,47930,울진군
47,47940,울릉군
48,48120,창원시
48,48121,창원시의창구
48,48123,창원시성산구
48,48125,창원시마산합포구
48,48127,창원시마산회원구
48,48129,창원시진해구
48,48170,진주시
48,48220,통영시
48,48240,사천시
48,48250,김해시
48,48270,밀양시
48,48310,거제시
48,48330,양산시
48,48720,의령군
48,48730,함안군
48,48740,창녕군
48,48820,고성군
48,48840,남해군
48,48850,하동군
48,48860,산청군
48,48870,함양군
48,48880,거창군
48,48890,합천군
50,50110,제주시
50,50130,서귀포시
51,51110,춘천시
51,51130,원주시
51,51150,강릉시
51,51170,동해시
51,51190,태백시
51,51210,속초시
51,51230,삼척시
51,51720,홍천군
51,51730,횡성군
51,51750,영월군
51,51760,평창군
51,51770,정선군
51,51780,철원군
51,51790,화천군
51,51800,양구군
51,51810,인제군
51,51820,고성군
51,51830,양양군
52,52110,전주시
52,52111,전주시완산구
52,52113,전주시덕진구
52,52130,군산시
52,52140,익산시
52,52180,정읍시
52,52190,남원시
52,52210,김제시
52,52710,완주군
52,52720,진안군
52,52730,무주군
52,52740,장수군
52,52750,임실군
52,52770,순창군
52,52790,고창군
52,52800,부안군